State,State Code,Cities,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,
Punjab,PB,Amritsar,1,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,34,34,34,295,295,295,295,295,295,295,295,297,297,297,297,306,306,306,310,310,310,313,313,327,344,344,344,356,356,356,356,390,390,454,454,454,454,487,499,499,523,523,523,547,547,620,669,722,740,740,740,740,740,740,740,740,740,800,817,817,817,889,889,929,942,942,960,960,992,992,1023,1039,1049,1120,1151,1174,1174,1174,1256,1321,1321,1344,1435,1491,1491,1576,1647,1720,1853,1891,1940,1957,2029,2074,2074,2165,2165,
Punjab,PB,Barnala,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21,22,24,24,24,24,24,24,24,24,24,24,25,25,27,27,27,27,27,28,28,28,28,40,40,41,41,41,44,44,44,48,49,49,55,55,63,64,65,67,67,67,67,70,70,71,74,76,76,77,77,77,78,78,81,81,90,92,93,105,117,117,123,128,133,136,140,140,180,180,211,
Punjab,PB,Bathinda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,37,37,37,37,37,41,41,41,41,41,41,41,41,43,43,43,43,43,45,45,45,45,45,45,50,50,50,51,51,55,55,55,55,56,56,56,56,64,64,64,64,64,68,74,74,74,74,76,76,76,81,81,87,87,87,87,95,95,95,95,108,114,114,114,125,132,133,133,133,155,157,161,180,180,182,182,182,182,182,286,307,307,307,373,373,401,401,458,458,507,552,606,692,
Punjab,PB,Faridkot,1,1,1,1,2,2,2,1,2,2,2,3,3,3,3,3,3,4,4,4,5,39,39,45,45,45,45,49,50,60,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,66,66,66,66,73,73,73,73,73,73,73,73,87,87,87,87,87,87,88,88,88,99,99,99,100,100,100,101,108,108,108,108,115,115,115,129,129,129,129,151,151,153,153,154,154,183,183,196,227,227,238,252,252,252,252,277,277,283,289,289,289,289,289,289,338,338,338,338,
Punjab,PB,Fatehgarh Sahib,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,46,46,54,54,56,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,58,63,64,64,65,69,69,70,70,72,72,72,74,74,76,76,80,80,82,83,85,86,95,95,95,101,101,104,104,104,114,118,118,118,120,122,125,127,130,139,139,144,163,169,173,182,186,191,195,210,216,216,235,244,244,244,267,287,292,315,332,340,365,365,382,389,404,435,447,460,485,
Punjab,PB,Fazilka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,41,41,41,44,44,44,44,44,44,44,44,44,44,44,42,42,42,42,43,43,43,43,44,44,46,47,48,48,48,50,50,50,50,50,50,54,55,55,71,71,71,71,71,74,75,76,76,76,90,92,92,96,97,97,98,102,102,102,102,106,108,109,109,123,133,137,143,143,143,161,171,171,200,208,216,216,252,253,253,253,273,273,299,309,314,331,331,340,363,
Punjab,PB,Ferozepur,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,45,45,45,45,45,45,45,45,45,45,45,46,46,46,46,46,46,46,46,46,46,49,50,55,55,55,55,55,55,55,63,63,63,63,85,85,85,85,89,89,93,95,95,101,101,101,101,117,122,122,158,172,176,176,188,211,212,212,228,228,228,228,257,262,273,288,288,312,334,334,404,404,404,447,456,
Punjab,PB,Gurdaspur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,116,116,119,119,121,121,121,121,121,122,122,122,125,125,125,126,126,131,131,131,131,132,132,132,132,136,136,138,138,144,146,146,147,155,158,159,163,165,168,168,170,170,170,170,170,174,174,186,191,193,193,193,210,218,221,221,232,232,233,241,253,261,265,268,268,280,288,289,292,299,299,301,318,318,326,328,338,338,347,373,458,460,501,501,550,602,626,644,672,695,695,695,805,862,
Punjab,PB,Hoshiarpur,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,85,85,85,88,88,88,88,88,88,88,88,88,88,88,88,93,100,112,116,116,116,116,116,116,125,128,129,129,129,130,130,130,130,130,130,133,133,137,140,140,148,150,150,157,157,157,157,158,160,161,161,168,169,171,171,172,172,177,177,177,177,183,183,183,183,190,199,205,205,247,258,259,294,365,375,395,395,448,489,505,512,520,520,539,549,556,578,578,580,595,598,619,648,697,
Punjab,PB,Jalandhar,7,7,7,7,8,8,8,8,8,8,8,8,8,13,18,18,20,20,29,33,115,133,150,156,160,173,180,190,190,193,196,196,209,209,209,209,209,209,209,216,216,216,220,230,230,239,248,252,252,255,255,255,301,302,302,302,302,302,315,315,315,315,315,350,371,411,411,511,537,537,565,565,565,676,676,676,676,676,764,764,764,886,886,886,886,1041,1151,1196,1196,1196,1196,1196,1196,1622,1686,1701,1701,1701,1733,1733,1796,1796,1796,1796,2032,2032,2032,2294,2294,2294,2407,2407,2407,2619,
Punjab,PB,Kapurthala,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,25,25,30,30,30,30,30,30,30,30,30,30,30,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,37,38,38,38,41,43,44,44,44,44,44,44,44,44,50,55,66,66,66,69,78,78,79,82,87,88,88,88,88,89,90,90,94,107,114,114,114,121,122,132,132,132,132,132,142,142,143,152,154,154,165,165,180,191,191,215,215,238,238,238,281,307,323,337,344,344,
Punjab,PB,Ludhiana,4,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,29,29,29,29,117,117,117,117,135,135,135,135,135,135,147,151,151,151,151,152,155,155,155,160,160,174,174,175,175,175,175,175,175,175,175,175,175,241,392,433,446,446,446,446,570,570,570,570,570,570,570,570,570,611,611,611,611,888,888,888,1011,1095,1095,1095,1095,1239,1309,1315,1315,1514,1514,1696,1751,1751,1919,1919,1973,2125,2125,2269,2460,2460,2821,2821,3075,3165,3165,3681,3871,4031,4031,4304,4398,4549,
Punjab,PB,Mansa,3,3,3,3,3,4,4,4,4,4,4,5,5,5,6,6,6,6,9,10,10,10,10,19,22,22,30,30,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,34,34,34,35,35,35,35,35,35,36,36,36,39,40,40,40,40,44,44,44,44,45,45,45,45,50,50,50,51,51,51,53,55,55,62,62,62,63,63,63,63,67,77,78,81,81,92,92,96,96,101,101,130,134,139,139,139,152,164,165,165,172,
Punjab,PB,Moga,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,48,58,58,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,64,64,64,64,64,65,67,67,67,68,68,68,70,70,70,70,70,73,74,74,75,75,79,79,79,79,79,86,91,93,93,93,93,93,96,96,96,101,101,112,112,124,134,134,139,143,144,146,149,158,159,161,175,186,197,200,214,214,214,223,243,271,283,283,317,318,343,353,363,446,454,457,462,466,
Punjab,PB,Pathankot,9,9,9,9,9,9,9,9,9,10,10,10,10,10,11,11,11,11,14,14,15,15,15,26,28,28,28,28,28,28,28,28,28,28,28,31,37,37,41,41,43,43,50,54,54,65,71,75,75,79,81,84,87,103,121,126,132,135,137,137,147,149,156,166,169,172,172,181,183,190,194,196,200,200,207,208,209,211,213,215,221,224,228,228,236,236,245,245,254,254,256,263,263,277,280,280,280,293,298,304,315,315,323,341,377,377,405,410,422,433,446,446,499,516,
Punjab,PB,Patiala,1,2,2,2,2,2,2,5,8,12,12,18,18,18,18,20,20,20,28,49,78,83,83,83,98,98,98,98,100,100,101,101,101,101,104,105,106,106,106,106,106,106,109,110,112,112,112,116,116,121,122,123,125,128,129,129,129,129,132,137,138,138,138,144,144,168,168,168,168,168,185,185,185,203,206,223,223,223,223,223,223,326,326,370,370,421,421,510,510,510,510,735,772,821,871,928,928,928,1151,1194,1194,1377,1484,1592,1592,1592,1808,1808,1808,1808,1808,1808,1808,1808,
Punjab,PB,Rupnagar,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,19,24,48,52,52,52,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,68,68,68,68,68,68,69,69,69,69,70,70,70,74,74,76,78,78,78,82,85,85,85,85,95,100,100,103,103,106,106,106,106,106,106,106,106,106,106,106,106,137,137,149,149,149,165,165,166,183,187,187,187,187,187,187,187,228,228,250,250,250,250,250,250,286,286,323,323,323,
Punjab,PB,S.A.S. Nagar,22,28,31,31,31,31,34,36,43,43,43,49,52,52,54,54,55,57,57,60,95,95,97,97,97,99,99,99,99,99,99,99,99,99,99,99,100,100,100,103,104,104,104,105,105,109,109,113,114,114,114,124,129,131,136,136,148,148,170,170,170,170,182,190,192,196,196,202,210,220,220,229,234,246,253,257,257,274,282,287,290,297,297,297,346,368,384,384,408,426,448,459,460,470,470,506,531,552,552,570,573,576,592,649,649,659,659,695,714,714,828,851,887,908,
Punjab,PB,Sangrur,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,54,54,80,87,87,87,88,88,88,88,88,88,91,91,91,91,91,91,91,92,92,96,96,96,96,101,101,102,103,107,108,108,117,117,117,134,134,140,140,140,157,157,164,221,221,221,299,299,328,328,373,412,439,459,470,494,501,510,510,545,546,546,593,607,613,632,635,641,651,654,675,675,700,723,768,788,814,843,871,885,911,937,968,983,983,1033,1033,1093,1117,1140,1140,1182,1201,1227,
Punjab,PB,Shahid Bhagat Singh Nagar,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,68,68,68,68,98,98,98,98,100,101,101,101,101,101,101,102,100,100,100,100,100,101,101,100,101,104,104,104,104,104,106,109,109,109,109,109,109,118,118,118,119,119,119,120,123,123,123,123,125,125,125,137,137,140,140,140,140,145,145,145,145,153,153,153,153,190,190,218,221,221,230,234,244,248,256,256,256,266,266,266,266,280,280,280,280,280,280,308,308,310,312,319,319,345,
Punjab,PB,Sri Muktsar Sahib,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,42,48,50,50,58,58,65,65,65,65,65,65,65,66,66,66,66,66,66,66,66,66,66,66,66,70,71,71,71,71,71,71,71,72,72,72,72,72,72,79,79,79,81,81,81,113,113,123,123,125,125,126,126,132,133,133,138,139,139,142,142,143,143,145,149,153,155,163,166,167,169,174,183,183,194,200,201,201,210,212,219,228,229,233,236,237,238,238,252,257,274,279,284,
Punjab,PB,Tarn Taran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,147,154,154,154,154,154,152,152,152,152,152,152,152,153,153,153,153,153,154,154,154,154,154,157,157,157,157,159,159,159,161,161,161,161,161,161,163,163,163,163,166,166,173,173,173,179,181,181,181,184,184,185,185,191,191,191,203,203,205,205,205,205,205,209,209,211,211,220,220,221,222,222,229,236,236,236,236,236,236,248,248,248,248,283,283,283,283,338,350,350,350,350,